UTC,timestamp,kW-1,kW-2,kW-3,kW-4,kW-5,kW-6,kW-7,kW-8,kW-9,kW-10
1422915720,2/2/2015 17:22,0.663633333,0.276266667,1.74305,53.79096667,0.988683333,0.504466667,0.84175,0.856383333,0,0.395466667
1422915780,2/2/2015 17:23,0.6245,0.297316667,1.729716667,53.45371667,0.9666,0.50435,0.833666667,0.831933333,0,0.398083333
1422915840,2/2/2015 17:24,0.616483333,0.279716667,1.715483333,53.14286667,0.938116667,0.503516667,0.82505,0.813683333,0,0.392016667
1422915900,2/2/2015 17:25,0.588716667,0.252616667,1.7032,52.87836667,0.92025,0.50305,0.809766667,0.7913,0,0.38925
1422915960,2/2/2015 17:26,0.578516667,0.231,1.68945,52.62761667,0.889266667,0.501833333,0.801833333,0.773783333,0,0.40615
1422916020,2/2/2015 17:27,0.569266667,0.218933333,1.669633333,52.33285,0.86875,0.500516667,0.81225,0.76455,0,0.408316667
1422916080,2/2/2015 17:28,0.52525,0.190966667,1.655433333,52.00973333,0.85405,0.498966667,0.8119,0.756916667,0,0.408533333
1422916140,2/2/2015 17:29,0.4896,0.153766667,1.64165,51.59983333,0.859766667,0.495616667,0.794916667,0.747783333,0,0.410733333
1422916200,2/2/2015 17:30,0.455433333,0.167283333,1.623683333,51.21343333,0.849816667,0.492666667,0.784766667,0.731433333,0,0.4141
1422916260,2/2/2015 17:31,0.455616667,0.180983333,1.614433333,50.84033333,0.829666667,0.489666667,0.7657,0.707883333,0,0.404533333
1422916320,2/2/2015 17:32,0.4437,0.217716667,1.595333333,50.45896667,0.805816667,0.484766667,0.74165,0.688083333,0,0.4212
